formula_pretty,nelements,structure_count,nsites_min,nsites_median,nsites_max,elements
Li3Fe2(PO4)3,4,18,40,60.0,80,Fe Li O P
Fe5(OF4)2,3,18,30,30.0,30,F Fe O
Li3Cr2(PO4)3,4,18,40,60.0,80,Cr Li O P
Li2MnVP2(HO5)2,6,18,18,45.0,54,H Li Mn O P V
Li2NiP2O7,4,18,24,48.0,96,Li Ni O P
Fe3OF5,3,18,18,18.0,18,F Fe O
BaCaI4,3,18,6,12.0,48,Ba Ca I
TiS2,2,18,3,7.5,12,S Ti
Mg2Sn,2,18,3,6.0,6,Mg Sn
CaMg,2,18,2,6.0,12,Ca Mg
ZrSn,2,18,2,10.0,24,Sn Zr
Sr2Mg,2,18,3,6.0,12,Mg Sr
Li6Zn3(PS4)4,4,18,58,116.0,116,Li P S Zn
Li3Mn2CoO6,4,18,12,12.0,24,Co Li Mn O
MnFeCo(PO4)3,5,18,72,72.0,72,Co Fe Mn O P
Li3MnFeCo(PO4)3,6,18,84,84.0,84,Co Fe Li Mn O P
Si2H2O3,3,18,28,70.0,336,H O Si
ZrCrAgS4,4,18,14,28.0,56,Ag Cr S Zr
HfCrAgS4,4,18,7,28.0,56,Ag Cr Hf S
Ca2Mg,2,17,6,6.0,12,Ca Mg
N2,1,17,1,4.0,16,N
Bi,1,17,1,4.0,8,Bi
Na,1,17,1,4.0,29,Na
Li2SiNiO4,4,17,16,32.0,64,Li Ni O Si
Ca(FeO2)2,3,17,7,14.0,56,Ca Fe O
Cs,1,17,1,4.0,29,Cs
Mg2Ga,2,17,6,6.0,18,Ga Mg
V4O5F7,3,17,16,16.0,32,F O V
MgMn4O8,3,17,13,13.0,52,Mg Mn O
MgTi2O4,3,17,7,14.0,56,Mg O Ti
Mg(NiO2)2,3,17,7,14.0,56,Mg Ni O
Mn2ZnO4,3,17,14,14.0,56,Mn O Zn
MoO3,2,17,8,16.0,100,Mo O
AlV2O4,3,17,14,28.0,28,Al O V
BiOF,3,17,6,12.0,48,Bi F O
LiSn(PO3)4,4,17,36,36.0,72,Li O P Sn
BaSrI4,3,17,6,24.0,48,Ba I Sr
Li2Cr2O7,3,17,22,44.0,44,Cr Li O
Li3Fe(PO4)2,4,17,14,56.0,112,Fe Li O P
Li2V3SnO8,4,17,14,28.0,56,Li O Sn V
Li2V3CoO8,4,17,14,28.0,56,Co Li O V
Fe3(OF2)2,3,17,18,18.0,18,F Fe O
Li3Fe2(SiO4)2,4,17,15,30.0,60,Fe Li O Si
Li8MnFe7(BO3)8,5,17,48,48.0,48,B Fe Li Mn O
Li3V2(PO4)3,4,17,40,80.0,80,Li O P V
Li3Co2(SiO4)2,4,17,15,15.0,60,Co Li O Si
Li4MnFe3(BO3)4,5,17,24,24.0,48,B Fe Li Mn O
Mn8O13F3,3,17,24,24.0,24,F Mn O
Fe6O5F7,3,17,18,18.0,18,F Fe O
MgZn2,2,17,6,6.0,12,Mg Zn
Ge,1,17,1,4.0,34,Ge
MoO2,2,17,3,12.0,48,Mo O
MgSn,2,17,2,6.0,6,Mg Sn
YMg,2,17,2,4.0,6,Mg Y
Li3Mn2O5,3,17,20,20.0,20,Li Mn O
LiCo(CO3)2,4,16,10,40.0,40,C Co Li O
Na5Fe2P2(CO7)2,5,16,25,50.0,50,C Fe Na O P
Li3Mn(PO4)2,4,16,28,56.0,112,Li Mn O P
LiMg2,2,16,3,6.0,6,Li Mg
YMg2,2,16,6,6.0,12,Mg Y
MgV2O4,3,16,7,21.0,56,Mg O V
MgMn6O11F,4,16,19,19.0,19,F Mg Mn O
WN2,2,16,3,9.0,36,N W
LiVF6,3,16,8,16.0,64,F Li V
CaCO3,3,16,10,20.0,90,C Ca O
Na5Mn2P2(CO7)2,5,16,25,50.0,75,C Mn Na O P
Na2MnPCO7,5,16,24,48.0,48,C Mn Na O P
Na5Ni2P2(CO7)2,5,16,25,50.0,75,C Na Ni O P
Li3MnPCO7,5,16,26,52.0,52,C Li Mn O P
Li3Mn2(PO4)3,4,16,40,80.0,80,Li Mn O P
Li2CuPO4,4,16,16,28.0,32,Cu Li O P
Sn2N2O,3,16,40,40.0,40,N O Sn
Li2MnV(P2O7)2,5,16,22,44.0,66,Li Mn O P V
LiSnPO4,4,16,7,35.0,84,Li O P Sn
Li2MnV3O8,4,16,14,28.0,56,Li Mn O V
Li2MnVP2(O4F)2,6,16,16,40.0,48,F Li Mn O P V
LiTi2O4,3,16,7,21.0,63,Li O Ti
LiV2(PO4)3,4,16,36,36.0,72,Li O P V
LiV4OF11,4,16,17,34.0,34,F Li O V
LiCr2(PO4)3,4,16,36,36.0,72,Cr Li O P
Fe6O7F5,3,16,18,18.0,18,F Fe O
MgCd2,2,16,6,6.0,18,Cd Mg
MgBi,2,16,2,6.0,12,Bi Mg
CeMg,2,16,2,5.0,12,Ce Mg
Mg(CuO2)2,3,16,14,14.0,56,Cu Mg O
Zn(CuO2)2,3,16,14,14.0,56,Cu O Zn
FeP2O7,3,16,10,40.0,80,Fe O P
FeBiO3,3,16,5,10.0,30,Bi Fe O
MgSb,2,16,2,5.0,6,Mg Sb
SrMg2,2,16,6,6.0,12,Mg Sr
LiV(PO3)4,4,16,36,36.0,72,Li O P V
Li3Co2O5,3,16,20,20.0,20,Co Li O
LiFe2(PO4)2,4,16,13,26.0,78,Fe Li O P
LiBi(PO3)4,4,16,36,54.0,72,Bi Li O P
Si3N4,2,16,14,35.0,105,N Si
CaSiO3,3,15,5,20.0,60,Ca O Si
Li2TiV3O8,4,15,14,28.0,56,Li O Ti V
LiMnSiO4,4,15,14,28.0,84,Li Mn O Si
V2(OF)3,3,15,8,16.0,24,F O V
